Date,Open,High,Low,Close,Adj Close,Volume,Days
2019-07-31,62.509998,62.830002,60.365002,60.869999,60.869999,2230400,85
2019-08-01,60.610001,61.310001,59.59,59.77,59.77,2278400,86
2019-08-02,59.5,59.599998,57.139999,58.610001,58.610001,2253300,87
2019-08-05,57.439999,59.694,56.299999,59.509998,59.509998,2487200,88
2019-08-06,59.790001,60.799999,57.16,58.700001,58.700001,2849700,89
2019-08-07,58,61.439999,57.66,60.290001,60.290001,8786600,90
2019-08-08,65.5,65.919998,61.5,62.099998,62.099998,13257200,91
2019-08-09,61.689999,61.950001,58.119999,59.119999,59.119999,8687400,92
2019-08-12,58.509998,58.599998,55.709999,56.18,56.18,5457100,93
2019-08-13,56,58.490002,54.389999,58.080002,58.080002,4367100,94
2019-08-14,56.52,57.23,53.66,54.490002,54.490002,4097000,95
2019-08-15,54.990002,54.990002,52.07,52.799999,52.799999,5202900,96
2019-08-16,53.02,53.759998,52.150002,52.470001,52.470001,6013500,97
2019-08-19,51.599998,53.549999,50.509998,51.68,51.68,26211300,98
2019-08-20,51.470001,54.419998,51.110001,53.650002,53.650002,11093600,99
2019-08-21,53.810001,54.689999,52.860001,54.150002,54.150002,6535700,100
2019-08-22,53.540001,54.330002,51.279999,51.360001,51.360001,6492100,101
2019-08-23,51.360001,51.560001,48.220001,49.110001,49.110001,9548600,102
2019-08-26,50.200001,51.5,49.720001,51.209999,51.209999,7189600,103
2019-08-27,51.240002,51.299999,48.720001,49.610001,49.610001,6308100,104
2019-08-28,49.310001,49.48,48.220001,48.84,48.84,4792300,105
2019-08-29,49.349998,50.200001,48.639999,49.73,49.73,5729600,106
2019-08-30,49.860001,49.939999,47.869999,48.970001,48.970001,5593700,107
2019-09-03,48.23,48.950001,45.400002,45.419998,45.419998,9135200,108
2019-09-04,45.700001,46.799999,44.75,46.349998,46.349998,8567100,109
2019-09-05,47.700001,47.810001,46.060001,46.400002,46.400002,8452200,110
2019-09-06,46.650002,46.650002,44.119999,44.5,44.5,9667700,111
2019-09-09,44.509998,45.16,44.009998,44.380001,44.380001,11125300,112
2019-09-10,44.049999,46.040001,43.41,45.450001,45.450001,7963900,113
2019-09-11,45.25,49.150002,45.099998,46.529999,46.529999,13488800,114
2019-09-12,46.720001,47.459999,46,46.990002,46.990002,5028600,115
2019-09-13,46.889999,46.990002,46.009998,46.099998,46.099998,4094100,116
2019-09-16,46.630001,49,46.549999,47.790001,47.790001,8634800,117
2019-09-17,48.310001,48.419998,46.82,48.060001,48.060001,4336500,118
2019-09-18,47.75,47.869999,45.830002,46.619999,46.619999,8006500,119
2019-09-19,46.830002,48.382999,46.630001,47.279999,47.279999,7964200,120
2019-09-20,47.450001,47.5,45.91,46.43,46.43,15210500,121
2019-09-23,46.310001,46.630001,45,45.310001,45.310001,6581900,122
2019-09-24,45.25,45.32,41.700001,41.880001,41.880001,9873800,123
2019-09-25,41.970001,42.029999,40.310001,41.779999,41.779999,9831400,124
2019-09-26,41.669998,42.137001,40.669998,41.900002,41.900002,5504000,125
2019-09-27,42.889999,42.900002,40.860001,41.349998,41.349998,6425000,126
2019-09-30,41.41,41.59,40.560001,40.84,40.84,3910300,127
2019-10-01,40.82,40.959999,38.68,39.57,39.57,8109700,128
2019-10-02,38.630001,39.305,37.919998,38.389999,38.389999,7859300,129
2019-10-03,38.439999,39.66,38.009998,39.52,39.52,5126400,130
2019-10-04,39.380001,39.740002,38.32,39.16,39.16,3677600,131
2019-10-07,39.549999,40.130001,39.113998,39.240002,39.240002,3901800,132
2019-10-08,38.799999,39.240002,38.07,38.66,38.66,3318200,133
2019-10-09,38.700001,38.75,38.009998,38.200001,38.200001,4088800,134
2019-10-10,38.389999,38.700001,37.068001,37.700001,37.700001,7305600,135
2019-10-11,37.900002,39.919998,37.900002,39.485001,39.485001,6901000,136
2019-10-14,39.93,40.310001,39.25,39.799999,39.799999,4574400,137
2019-10-15,39.799999,41.18,39.650002,41.080002,41.080002,5675800,138
2019-10-16,40.900002,41.02,39.849998,40.509998,40.509998,4502600,139
2019-10-17,40.529999,42.07,40.209999,41.669998,41.669998,6167400,140
2019-10-18,41.610001,41.66,40.349998,40.790001,40.790001,5511300,141
2019-10-21,41.25,41.669998,40.57,40.880001,40.880001,3016400,142
2019-10-22,41.150002,45.360001,40.060001,43.560001,43.560001,19543800,143
2019-10-23,43.669998,44.189999,42.880001,43.080002,43.080002,4773400,144
2019-10-24,43.009998,43.75,42.119999,43.720001,43.720001,4101700,145
2019-10-25,43.709999,44.68,43.380001,44.540001,44.540001,5057100,146
2019-10-28,44.68,44.779999,43.549999,44.419998,44.419998,4596300,147
2019-10-29,44.25,44.25,42.580002,43.68,43.68,3763800,148
2019-10-30,43.450001,44.209999,43,44.110001,44.110001,7938500,149
2019-10-31,45.630001,45.82,41.16,41.439999,41.439999,16193000,150
2019-11-01,41.700001,43.32,41.580002,42.98,42.98,7492200,151
2019-11-04,43,43.799999,42.369999,42.830002,42.830002,6177900,152
2019-11-05,42.400002,43.09,41.25,41.369999,41.369999,6618200,153
2019-11-06,40.599998,43.275002,40.48,42.919998,42.919998,9550000,154
2019-11-07,43.310001,43.639999,42.27,43.290001,43.290001,6012800,155
2019-11-08,43.23,43.380001,42.529999,43.23,43.23,4860400,156
2019-11-11,42.849998,43.009998,41.799999,42.970001,42.970001,3839900,157
2019-11-12,42.740002,43.450001,42.200001,42.330002,42.330002,4293400,158
2019-11-13,42.200001,43.43,42.009998,43.299999,43.299999,3993200,159
2019-11-14,42.830002,42.91,40.650002,41.919998,41.919998,8868300,160
2019-11-15,42.18,43.93,41.73,43.040001,43.040001,7362600,161
2019-11-18,43.290001,45.360001,42.799999,44.860001,44.860001,9062500,162
2019-11-19,45,45,43.810001,44.150002,44.150002,3740700,163
2019-11-20,44,44.540001,42.77,43.950001,43.950001,7547700,164
2019-11-21,44.240002,46.830002,44.099998,46.759998,46.759998,10806900,165
